Year,Week,Home Team,Home Player,Home Player Points,Position,Away Player Points,Away Player,Away Team
2019,2,Nathan,Austin Ekeler,23.3,RB1,28.1,Dalvin Cook,Andrew
2019,2,Nathan,Kerryon Johnson,16.8,RB2,8.4,David Johnson,Andrew
2019,2,Nathan,Julio Jones,27.6,WR1,10.9,Sammy Watkins,Andrew
2019,2,Nathan,Antonio Brown,16.1,WR2,10.1,Mike Evans,Andrew
2019,2,Nathan,Mark Andrews,25.2,TE,4.5,Jared Cook,Andrew
2019,2,Nathan,Damien Williams,8.6,FLEX,22.2,Tyler Boyd,Andrew
2019,2,Nathan,Cowboys D/ST,3.0,D/ST,4.0,Saints D/ST,Andrew
2019,2,Nathan,Cairo Santos,5.0,K,0.0,Matt Prater,Andrew
2019,2,Noah,Lamar Jackson,30.88,QB,27.66,Dak Prescott,Haris
2019,2,Noah,Alvin Kamara,7.0,RB1,20.9,Le'Veon Bell,Haris
2019,2,Noah,Duke Johnson,3.1,RB2,20.0,Ezekiel Elliott,Haris
2019,2,Noah,Keenan Allen,17.8,WR1,14.4,Amari Cooper,Haris
2019,2,Noah,Alshon Jeffery,0.0,WR2,6.2,Jarvis Landry,Haris
2019,2,Noah,Travis Kelce,23.7,TE,7.4,Austin Hooper,Haris
2019,2,Noah,Josh Gordon,3.9,FLEX,8.0,William Fuller V,Haris
2019,2,Noah,Titans D/ST,9.0,D/ST,11.0,Texans D/ST,Haris
2019,2,Noah,Ka'imi Fairbairn,7.0,K,7.0,Brett Maher,Haris
2019,3,Andrew,Tom Brady,20.14,QB,22.54,Dak Prescott,Haris
2019,3,Andrew,Dalvin Cook,24.3,RB1,15.9,Ezekiel Elliott,Haris
2019,3,Andrew,David Johnson,18.5,RB2,10.3,Le'Veon Bell,Haris
2019,3,Andrew,Mike Evans,45.0,WR1,26.8,Amari Cooper,Haris
2019,3,Andrew,Sammy Watkins,11.4,WR2,9.2,Jarvis Landry,Haris
2019,3,Andrew,Vance McDonald,2.0,TE,24.6,Austin Hooper,Haris
2019,3,Andrew,Tyler Boyd,12.8,FLEX,10.1,William Fuller V,Haris
2019,3,Andrew,Saints D/ST,8.0,D/ST,-2.0,Cardinals D/ST,Haris
2019,3,Andrew,Adam Vinatieri,10.0,K,6.0,Brett Maher,Haris
2019,3,Dante,Matt Ryan,22.46,QB,21.66,Carson Wentz,Nathan
2019,3,Dante,Joe Mixon,17.4,RB1,15.1,Austin Ekeler,Nathan
2019,3,Dante,Chris Carson,4.0,RB2,11.3,Kerryon Johnson,Nathan
2019,3,Dante,Cooper Kupp,33.1,WR1,26.8,Julio Jones,Nathan
2019,3,Dante,Michael Thomas,16.4,WR2,4.5,Jamison Crowder,Nathan
2019,3,Dante,Zach Ertz,10.4,TE,4.5,Mark Andrews,Nathan
2019,3,Dante,Emmanuel Sanders,3.0,FLEX,10.8,Matt Breida,Nathan
2019,3,Dante,Packers D/ST,13.0,D/ST,11.0,Cowboys D/ST,Nathan
2019,3,Dante,Matt Bryant,6.0,K,9.0,Zane Gonzalez,Nathan
2019,3,Justin,Patrick Mahomes,27.86,QB,19.62,Philip Rivers,Ethan
2019,3,Justin,Christian McCaffrey,27.8,RB1,16.9,Frank Gore,Ethan
2019,3,Justin,Sony Michel,7.1,RB2,11.6,Derrick Henry,Ethan
2019,3,Justin,T.Y. Hilton,20.5,WR1,17.1,JuJu Smith-Schuster,Ethan
2019,3,Justin,Calvin Ridley,1.6,WR2,14.6,Larry Fitzgerald,Ethan
2019,3,Justin,Greg Olsen,25.5,TE,13.4,Delanie Walker,Ethan
2019,3,Justin,John Ross,2.2,FLEX,13.3,Demarcus Robinson,Ethan
2019,3,Justin,Chargers D/ST,3.0,D/ST,14.0,Jaguars D/ST,Ethan
2019,3,Justin,Greg Zuerlein,9.0,K,6.0,Jake Elliott,Ethan
2019,3,McGwire,Deshaun Watson,25.84,QB,41.34,Russell Wilson,Klapp
2019,3,McGwire,Leonard Fournette,15.2,RB1,16.8,Marlon Mack,Klapp
2019,3,McGwire,Saquon Barkley,7.7,RB2,4.3,Todd Gurley II,Klapp
2019,3,McGwire,Adam Thielen,20.6,WR1,4.5,Stefon Diggs,Klapp
2019,3,McGwire,Hollywood Brown,6.9,WR2,4.1,Robbie Chosen,Klapp
2019,3,McGwire,T.J. Hockenson,1.1,TE,11.7,George Kittle,Klapp
2019,3,McGwire,Mike Williams,7.5,FLEX,27.1,Darren Waller,Klapp
2019,3,McGwire,Bills D/ST,11.0,D/ST,20.0,Bears D/ST,Klapp
2019,3,McGwire,Justin Tucker,4.0,K,3.0,Wil Lutz,Klapp
2019,3,Michael,Josh Allen,18.32,QB,21.28,Lamar Jackson,Noah
2019,3,Michael,Nick Chubb,17.1,RB1,37.1,Alvin Kamara,Noah
2019,3,Michael,Aaron Jones Sr.,15.3,RB2,29.0,Phillip Lindsay,Noah
2019,3,Michael,Julian Edelman,19.2,WR1,43.6,Keenan Allen,Noah
2019,3,Michael,Davante Adams,9.6,WR2,18.4,Mecole Hardman,Noah
2019,3,Michael,Noah Fant,4.7,TE,15.9,Travis Kelce,Noah
2019,3,Michael,Peyton Barber,7.5,FLEX,4.3,Randall Cobb,Noah
2019,3,Michael,Buccaneers D/ST,7.0,D/ST,10.0,Rams D/ST,Noah
2019,3,Michael,Harrison Butker,10.0,K,2.0,Ka'imi Fairbairn,Noah
2019,3,Zach,Jared Goff,14.12,QB,25.5,Jameis Winston,Carter
2019,3,Zach,Mark Ingram II,35.5,RB1,11.1,David Montgomery,Carter
2019,3,Zach,James Conner,7.7,RB2,4.4,Josh Jacobs,Carter
2019,3,Zach,Odell Beckham Jr.,11.6,WR1,12.7,DeAndre Hopkins,Carter
2019,3,Zach,Kenny Golladay,3.7,WR2,12.0,Allen Robinson,Carter
2019,3,Zach,Jimmy Graham,0.0,TE,23.3,Evan Engram,Carter
2019,3,Zach,Robert Woods,8.8,FLEX,12.6,Miles Sanders,Carter
2019,3,Zach,49ers D/ST,8.0,D/ST,14.0,Patriots D/ST,Carter
2019,3,Zach,Robbie Gould,6.0,K,6.0,Stephen Gostkowski,Carter
2019,4,Andrew,Aaron Rodgers,25.48,QB,8.72,Josh Allen,Michael
2019,4,Andrew,David Johnson,21.9,RB1,39.3,Nick Chubb,Michael
2019,4,Andrew,Dalvin Cook,19.0,RB2,17.8,Aaron Jones Sr.,Michael
2019,4,Andrew,Mike Evans,18.9,WR1,28.0,Davante Adams,Michael
2019,4,Andrew,Sammy Watkins,6.4,WR2,7.0,Julian Edelman,Michael
2019,4,Andrew,Will Dissly,18.7,TE,6.3,O.J. Howard,Michael
2019,4,Andrew,Tyler Lockett,9.1,FLEX,41.2,Chris Godwin Jr.,Michael
2019,4,Andrew,Saints D/ST,12.0,D/ST,4.0,Vikings D/ST,Michael
2019,4,Andrew,Matt Prater,15.0,K,10.0,Harrison Butker,Michael
2019,4,Ethan,Philip Rivers,20.4,QB,11.6,Deshaun Watson,McGwire
2019,4,Ethan,Derrick Henry,11.8,RB1,26.5,Leonard Fournette,McGwire
2019,4,Ethan,Kenyan Drake,10.3,RB2,18.6,Darrel Williams,McGwire
2019,4,Ethan,Larry Fitzgerald,9.7,WR1,6.2,Hollywood Brown,McGwire
2019,4,Ethan,JuJu Smith-Schuster,4.5,WR2,2.6,Adam Thielen,McGwire
2019,4,Ethan,Delanie Walker,1.4,TE,11.7,T.J. Hockenson,McGwire
2019,4,Ethan,Brandin Cooks,13.1,FLEX,6.3,Curtis Samuel,McGwire
2019,4,Ethan,Jaguars D/ST,1.0,D/ST,5.0,Bills D/ST,McGwire
2019,4,Ethan,Jake Elliott,4.0,K,6.0,Justin Tucker,McGwire
2019,4,Haris,Dak Prescott,7.62,QB,15.68,Matt Ryan,Dante
2019,4,Haris,Ezekiel Elliott,16.5,RB1,18.5,Chris Carson,Dante
2019,4,Haris,Royce Freeman,9.0,RB2,10.3,Joe Mixon,Dante
2019,4,Haris,Amari Cooper,9.8,WR1,26.9,Cooper Kupp,Dante
2019,4,Haris,Phillip Dorsett,3.9,WR2,18.5,Michael Thomas,Dante
2019,4,Haris,Austin Hooper,22.0,TE,13.5,Zach Ertz,Dante
2019,4,Haris,Marquez Valdes-Scantling,7.7,FLEX,15.4,Emmanuel Sanders,Dante
2019,4,Haris,Browns D/ST,9.0,D/ST,-1.0,Packers D/ST,Dante
2019,4,Haris,Brett Maher,4.0,K,4.0,Matt Bryant,Dante
2019,4,Klapp,Russell Wilson,14.3,QB,-0.52,Case Keenum,Carter
2019,4,Klapp,Todd Gurley II,26.0,RB1,12.8,Josh Jacobs,Carter
2019,4,Klapp,Marlon Mack,3.9,RB2,10.0,Chris Thompson,Carter
